#{"t_start": 1758460157.1506329, "env_id": "None"}
r,l,t
-111.0,12,4.448479
-107.0,8,4.452078
-105.0,6,4.454557
-104.0,5,4.456606
-105.0,7,4.459985
-29.0,32,4.472123
-31.0,32,4.483941
-31.0,32,4.498526
-31.0,32,4.511698
-28.0,32,4.525058
-31.0,32,4.537239
-31.0,32,4.549557
-27.0,32,4.563003
-27.0,32,4.575948
-24.0,32,4.589009
-18.0,32,4.604815
-17.0,32,4.618029
-30.0,32,4.632241
-31.0,32,4.645292
-32.0,32,4.65904
-103.0,4,4.660103
-104.0,5,4.661977
-105.0,6,4.664781
-103.0,4,4.665702
-105.0,6,4.668734
-23.0,32,4.681422
-102.0,3,4.682903
-102.0,3,4.68359
-23.0,32,4.696988
-102.0,3,4.697778
-120.0,23,4.710502
-19.0,32,4.723625
-25.0,32,4.737174
-26.0,32,4.74976
-15.0,32,4.762215
-24.0,32,4.775559
-103.0,5,4.777558
-20.0,32,4.789938
-30.0,32,4.803043
-31.0,32,4.817634
-28.0,32,4.829104
-15.0,32,4.842089
-19.0,32,4.854362
-16.0,32,4.867566
-26.0,32,4.880593
-24.0,32,4.894872
-16.0,32,4.909376
-23.0,32,4.925476
-18.0,32,4.939047
-25.0,32,4.95174
-12.0,32,4.964232
-27.0,32,4.977709
-102.0,3,4.978485
-102.0,3,4.979887
-102.0,3,4.981271
-102.0,3,4.981956
-102.0,3,4.983376
-102.0,3,4.984159
-102.0,3,4.985539
-102.0,3,4.986918
-102.0,3,4.987979
-102.0,3,5.014342
-31.0,32,5.043526
-32.0,32,5.057714
-102.0,3,5.058488
-102.0,3,5.05996
-102.0,3,5.060642
-103.0,4,5.062274
-102.0,3,5.063775
-102.0,3,5.06451
-23.0,32,5.078227
-102.0,3,5.078994
-18.0,32,5.092317
-20.0,32,5.104968
-102.0,3,5.10641
-102.0,3,5.10709
-15.0,32,5.120344
-20.0,32,5.135531
-13.0,32,5.149065
-101.0,2,5.149618
-20.0,32,5.162319
-14.0,32,5.175798
-101.0,2,5.176316
-21.0,32,5.189544
-20.0,32,5.20139
-16.0,32,5.21363
-15.0,32,5.226939
-106.0,9,5.230445
-101.0,2,5.230883
-101.0,2,5.231298
-101.0,2,5.232403
-101.0,2,5.232822
-20.0,32,5.248996
-101.0,2,5.249537
-101.0,2,5.249967
-101.0,2,5.251577
-101.0,2,5.252119
-101.0,2,5.253568
-101.0,2,5.254004
-101.0,2,5.254427
-101.0,2,5.25558
-101.0,2,5.256004
-101.0,2,5.25717
-101.0,2,5.257596
-101.0,2,5.258021
-101.0,2,5.259187
-101.0,2,5.259649
-101.0,2,5.260843
-101.0,2,5.261287
-101.0,2,5.261721
-101.0,2,5.262852
-101.0,2,5.263274
-26.0,32,5.277646
-101.0,2,5.278174
-101.0,2,5.2786
-101.0,2,5.279758
-101.0,2,5.280174
-101.0,2,5.281333
-101.0,2,5.281779
-101.0,2,5.28221
-101.0,2,5.283365
-101.0,2,5.283853
-101.0,2,5.285392
-101.0,2,5.285881
-101.0,2,5.286317
-101.0,2,5.287505
-101.0,2,5.287932
-101.0,2,5.289085
-101.0,2,5.289518
-101.0,2,5.289934
-101.0,2,5.291058
-101.0,2,5.291488
-101.0,2,5.292626
-101.0,2,5.293051
-101.0,2,5.293464
-101.0,2,5.294579
-101.0,2,5.294999
-101.0,2,5.296179
-101.0,2,5.296657
-101.0,2,5.297112
-102.0,3,5.298613
-101.0,2,5.299067
-101.0,2,5.300238
-101.0,2,5.300844
-101.0,2,5.302134
-23.0,32,5.31468
-20.0,32,5.32722
-16.0,32,5.340354
-26.0,32,5.356366
-32.0,32,5.369463
-102.0,3,5.370252
