#{"t_start": 1748183726.3099203, "env_id": "None"}
r,l,t
-2.083333,5,2.784644
-2.583333,7,2.787294
-2.583333,5,2.789078
-2.083333,5,2.791084
-2.083333,5,2.792973
-2.083333,5,2.795128
-2.083333,5,2.8051
-2.083333,5,2.807203
-2.083333,5,2.811584
-2.083333,5,2.813864
-2.083333,5,2.816028
-2.083333,5,2.817845
-2.083333,5,2.819819
-2.083333,5,2.821796
-2.083333,5,2.82372
-2.083333,5,2.825551
-2.083333,5,2.828102
-2.083333,5,2.830951
-2.083333,5,2.83295
-2.083333,5,2.863578
-2.083333,5,2.865769
-3.583333,7,2.869677
-2.083333,5,2.871945
-2.083333,5,2.874293
-2.083333,5,2.876363
-2.083333,5,2.878412
-2.083333,5,2.880291
-2.083333,5,2.882659
-2.083333,5,2.884813
-2.083333,5,2.886693
-2.083333,5,2.888649
-2.083333,5,2.901129
-2.083333,5,2.903216
-2.083333,5,2.905649
-2.083333,5,2.907514
-2.083333,5,2.909411
-2.083333,5,2.911565
-2.083333,5,2.913629
-2.083333,5,2.915613
-3.583333,7,2.918699
-3.333333,7,2.921465
-2.083333,5,2.923677
-2.083333,5,2.925577
-2.083333,5,2.933874
-2.083333,5,2.936323
-2.083333,5,2.938216
-2.083333,5,2.940284
-2.083333,5,2.94207
-2.083333,5,2.943958
-2.083333,5,2.945921
-2.083333,5,2.947913
-2.083333,5,2.949932
-2.083333,5,2.951777
-2.083333,5,2.953955
-2.083333,5,2.956078
-3.583333,7,2.958398
-2.083333,5,2.965458
-2.083333,5,2.967313
-4.166667,13,2.971376
-2.083333,5,2.973404
-2.083333,5,2.975541
-2.083333,5,2.977607
-2.083333,5,2.979748
-2.083333,5,2.981806
-2.083333,5,2.983748
-2.083333,5,2.985745
-2.083333,5,2.987781
-2.083333,5,3.002935
-3.166667,9,3.006155
-2.083333,5,3.008602
-2.083333,5,3.010635
-2.083333,5,3.013933
-2.083333,5,3.015735
-2.083333,5,3.017931
-2.083333,5,3.020282
-2.083333,5,3.02242
-2.083333,5,3.024451
-2.083333,5,3.026493
-2.083333,5,3.028463
-2.083333,5,3.041278
-2.083333,5,3.043503
-2.083333,5,3.045462
-2.083333,5,3.047352
-2.083333,5,3.049221
-2.083333,5,3.051477
-2.083333,5,3.053607
-2.083333,5,3.055672
